review,score,of_title,id_linha,Ideological_Bias,LGBTQ+_Criticism,Conspiracy_Theory,Meta-Criticism,Technical_Criticism,Tactical_Praise,Coordinated_Hate,Studio_Criticism,Frustration/Expectation
"""I grew up watching the original Star Wars movies as a kid when they actually came out.   I actually think this movie does live up to the expectations of a great movie like the original three.  I also thought it was way better than the last movie \""""Star Wars, The Force Awakens\"""".  Don't listen to the negative opinions of the critics.  This movie is really good, packed with action, and laughs.",10,Last Jedi,97,1,1,1,1,0,0,1,1,1
"Fantastic. Emotional, true to the lore, and extremely high quality.",10,Last Jedi,98,1,1,0,1,1,0,1,1,0
Better than than part 7,8,Last Jedi,99,1,0,0,0,0,1,1,0,1
"""Finally got to see Star Wars: The Last Jedi.  It was REALLY GOOD.  Ignore the naysayers and critics.  If you're a Star Wars fan, you will, at the very least, enjoy it.  And if you're a fan of some (or most) of the Expanded Universe (EU), then you will definitely feel good about the way it turned out!  ------------------------------  SPOILERS BEYOND THIS POINT!!!!!!!!!!!!!!!!!!!!  ------------------------------  SPOILERS BEYOND THIS POINT!!!!!!!!!!!!!!!!!!!!  -------------------------------  YOU'VE BEEN WARNED!  TURN BACK NOW, BEFORE IT'S TOO LATE!!!!!!!!!!!!!!!!!  --------------------------------  So, my thoughts on some of the major points of contention in the movie:  -A little bit of silliness in it, especially at the beginning.  Yes.  There was some.  Especially the bit with Poe teasing Hux.  All I can say is, if this upset you, you obviously never watched the Prequels, The Clone Wars, or Rebels.  Those are all MUCH sillier and much more ridiculous.  Disney toned down the silliness quite a bit from where George Lucas brought it.  BUT, yes, there was a bit of silliness in there, and after The Force Awakens and Rogue One, I'm sure some people were hoping it would be gone for good.  But if the Prequels were a 10 when it came to silliness, TLJ is no worse than a 2.  It is not even remotely silly as Jar-Jar, 8 year old Annakin blowing up a battle station, C3PO having his head swapped with a battldroid, or General Greivous.  -The Rebel Alliance was buying weapons from the same arms dealers that were making them for the First Order!!!  Wow.  There's a shocker!  Why, it's almost as if there was some sort of civil war going on or something...  -There was an SJW message in it!!!!!  Congratulations!  You apparently don't know the difference between a Social Justice Warrior and a Libertarian!  Because that was a LIBERTARIAN message!  If you are not referring to the message the Code Breaker gave Fin, though, perhaps you are referring to the fact that Rose prevented Fin from sacrificing himself and said something about saving the people we love rather than dying for a doomed cause?  Now I'll admit, I was kinda hoping Fin would go through with it.  But Rose's actions  were her own, based upon the fact that she had just lost her sister for the cause and obviously had strong feelings for Fin.  AND, the fact that they were all willing to let Luke sacrifice HIMSELF for the cause more than made up for that!  -Kylo Ren is too whiny!  And Annakin Skywalker wasn't?  That's the whole point.  Be a little bitch and you will turn to the Dark Side!  -And, finally, some people didn't like the direction they took with Luke Skywalker...including Mark Hamil himself.  Well, if you have read any of the EU, then you were fully prepared for this version of Luke Skywalker.  I don't need to tell you about how he went into hiding for fear that he would make the same mistakes Obiwan did if he attempted to train any Jedi on his own, or that he feared turning to the Dark Side.  You were prepared for this, and you were pleased by the direction they took.  IF you are not familiar with the EU, then allow me to explain.  Luke was never some noble knight in shining armor that represented the epitome of the Jedi Order.  He longed for adventure.  He ignored his teacher's instructions.  He whined about things being too difficult.  He lied.  And in the end, he failed his final test against Darth Vader...the test that Yoda told him would make him a Jedi.  \""""Wait...what?!?!?\"""", you say?  He longed for adventure.  Something Yoda frequently warned him about, and something Rey never did (remember, she wanted to return to Jakku).  Rey was much more like Obiwan and Yoda than Luke ever was.  He ignored his teacher's instructions.  He went into the Dark Side Cave on Dagobah with his weapons, in defiance of Yoda.  There he faced his fear:  that he would be turned the the Dark Side and become a Sith Lord.  Then he ignored Yoda's orders not to abandon his training in an attempt to save his friends in Cloud City.  He did so anyway, and to what end?  He didn't save his friends.  Lando did that.  All he did was walk right into Vader's trap and put his friends at risk when they came back for him.  Sure, Artoo went with him, and it was Artoo who turned the hyperdrive back on on the Falcon.  But had they not been slowed down by having to go back and save Luke, the Falcon might have just told 3PO itself that its hyperdrive was turned off.  He whined about things being too difficult.  Well...that's a given.  There would be no infamous, \""""Do.  Or do not.  There is no try.\"""" line if he wasn't frequently whining about things  being too hard during his training.  He lied.  He told Jabba he was a Jedi when he wasn't.  He even asked Yoda later if he was Jedi, to which Yoda responded that he had one more test:  to face Vader.  Which brings us to...  He failed his test against Darth Vader.  Oh, he saved Vader.  But he tried to strike the Emperor down in anger and hate...EXACTLY how the Emperor wanted him to.  He gave in to the Dark Side.  He failed his test, and he did not become a Jedi.  Bet he was also not a Sith.  He was a Grey Jedi.  But that decision to give in to his feelings and strike down his enemy is also what allowed him to save his father, and bring him back from the Dark Side.    The direction they went with Luke in TLJ was exactly the direction they needed to go with him.  Rey, not Luke, was The Last Jedi.  And her behavior proves that point.    Oh, and how Luke used what remained of his life force to generate an illusion in order to hold off Kylo Ren and give Rey time to save his friends and allies was awesome.  I wonder how many people realized that it was an illusion from the moment he walked out of the blaster fire?  If that hadn't been indicator enough, surely him pulling out his old, just destroyed blue light saber would have told them?  Anyhow....  In conclusion...  The whining over this movie is nonsense.  It was a great movie.  Any Star Wars fan will enjoy it!",10,Last Jedi,100,1,0,0,0,1,0,0,1,1
i wasn't sober when i saw this movie. i wanted to like it but it just didn't happen.,4,Inception,101,0,1,0,0,0,0,0,0,1
"Inception left me feeling agitated and disappointed. the amazing acting, beautiful cinematography and spectacular effects are wasted on a plot that just doesn't work. How do they share in each others dreams? Why does the lack of gravity penetrate one level of dreaming but not the next? Why are the dreams so bound by the characteristics of reality? It's a huge task to adequately represent the feeling of the boundless world of our unconscious minds and also tie it into a workable movie. Congrats to the director and cast for trying, but it falls terribly short. They even get the time-bending effect of being unconscious backwards. When I sleep 8 hours can fly by in the real world while in my dreamland only 30 minutes have gone by. They portray it backwards - where in the real world five minutes passes years pass in the subconscious? These obvious plot errors take it down from an amazing classic to a lamentable nice try.",4,Inception,102,1,0,1,0,1,0,1,0,1
it's a rip off from the original Japan anime Paprika,2,Inception,103,1,0,1,1,1,1,1,1,0
Nope. No way! For-get it!,2,Inception,104,1,0,1,0,1,1,0,0,0
"""Monotone talking, monotone action, monotone plot. Two and a half hours to get to a plot point that supposedly \""""blew your mind\"""" but was painfully obvious from the beginning.",2,Inception,105,0,0,0,0,1,1,0,1,1
"I must have watched a different movie to everyone else. I found this to be a special effects extravaganza (yes they are truly brilliant) with a circular, complicated, iterative story that kept adding more complexity and locations for the sake of it, or at least to justify a future trilogy. my sister and I did not really get into it the way others have described. Yes, it is the film to see, as it certainly adds to cinematography, but will bake your head! I was disappointed, especially when we woke to find it was still going! Liked it almost as much as l didn't like the Da Vinci code (Ariadne added nothing worth having to the plot). Pity as my son thought it was brilliant. This was at least 3 courses stuffed onto one plate, so left a messy taste behind. Maybe I will go see it again and take some Prozac and alka seltzer. I'm getting old!",4,Inception,106,0,0,1,1,1,0,1,1,1
"A load of hackneyed cliched old wank. cardboard characterisation, Ellen Page's character being particularly poor and unconvincing. makes the matrix look like a work of genius",4,Inception,107,0,0,1,1,1,1,0,1,1
"If you are into dream inside of a dream inside of a dream type movies, this one's for you, but not for me.  Some good visual effects and art direction, however.",4,Inception,108,0,1,1,1,1,0,1,0,1
worse than tautology,4,Inception,109,1,0,1,1,0,1,1,0,1
"""It's a complicated movie, alright. Very intricate how Christopher Nolan was able to weave obsurdity with sillyness, layered with a proposterous plot, soaked in contrived dialogue. No redeemable qualities. And to quote Nolan's last film, \""""Why so serious?\""""",2,Inception,110,1,1,0,1,1,0,0,0,1
"I thought it was boring, overly complex and too long. It had some good ideas but just couldn't deliver in a way that made me care about any of the characters. You didn't feel any empathy with any of them regardless of what happened. In the end I was left feeling sorry for the cast. So many great actors wasted in this film.",2,Inception,111,0,0,1,1,1,0,0,1,0
"i dont understand, may watch it again and really pay attention lol",2,Inception,112,1,1,0,1,1,0,0,1,1
"Ok, I enjoy a good mind fu*k just as much as the next guy but this is the movie version of those little Russian wooden dolls where one fits inside the next, inside the next and so on. The screenwriter was on something extremely hallucinogenic and certainly not over the counter, when they penned this labyrinthine conundrum. DiCaprio is in yet another psychological thriller about people who enter your dreams and implant self fulfilling realities in your subconscious. Or do they? Perhaps you're dreaming right now and I've implanted this thought and when you awake, you'll feel compelled to bookmark my webpage? Or are you in a dream about a dream taking place in a dream? WTF?? It was a commendable attempt at something very ambitious but it would be a 2000 page novel and it certainly didn't translate to the screen well. The special effects are quite impressive but hardly innovative and the acting was Matrix-ish, which was not really surprising given the subject material. It was high concept that failed on almost every level. I gave them points for the visuals and for not pandering to a lowest common denominator when assessing the viewing public's intelligence level. Although in this case, perhaps they overestimated.",2,Inception,113,1,1,1,1,1,1,0,1,1
Didn't like this film very much. Some nice action but complex plot and not easy to get into. Without telling you of the ending it was quite predictable.Interesting concept.,2,Inception,114,0,1,0,0,1,0,0,0,0
Sorry my good friends...the story line is all fine and dandy....Reminds one of bits & pieces from movies like Matrix & Eternal Sunshine of a Spotless mind.But the biggest fallacy I could see is using a totem spin to distinguish between dream and reality....A totem can hardly save one...when one gets into such multiple layers of illusion and dreams.. well.. the non-stop spin/stop of a totem can be considered be also part of the dream right? do you one think one's subconsious mind at such deepest levels.. respond to a totem spin properly? think again my friend...,2,Inception,115,1,1,0,1,1,0,1,0,1
"""Visual effects, chases and a high budget is not what I'm value movies for. \""""Iception\"""" is hollow and artificial, too hyped-up and excessively praised.",4,Inception,116,0,0,0,1,1,1,1,1,0
The hype for this movie was just too much. I did not enjoy it at all.,4,Inception,117,1,0,0,1,0,1,1,1,1
"I would like to give Chris Nolan a do over on this film. It had the makings of a great film. Great director, very talented cast, and an interesting premise....the only problem was that there was no movie. It seems as if the movie was made based on the premise, and then an actual plot was thrown together as they went with a little inspiration from Leo's character in Shutter Island. I was really looking forward to this movie and later found myself apologizing to my girlfriend. Too many corny gags and one liners that belonged in Die Hard, and too much good guy vs anonymous bad guys action sequences that belonged in an 80s action film you can catch at 2 am on SPIKE TV. This is the first movie in my movie going career where the audience collectively groaned at the ending, which made me wonder if Chris Nolan was watching a lot of Lost recently and liked ending it with the sudden cut to the title. I love Chris Nolan, love Leo and Ellen Page, and all in all great idea, but what a disappointing movie.",4,Inception,118,1,1,0,0,1,0,0,0,1
"If you can plant memories and thoughts inside a person's mind as they in this film are hired to plant a memory inside a business competitor's mind then just plant the memory that the job is already done in the guy's mind that hired you in the first place. Job done, as they say and film over.n Pointless movie.",2,Inception,119,0,0,1,1,1,0,0,1,0
"Rented the DVD. I can understand why so many people like it. But I'm not one of them. On the plus side, it's an intelligent, creative, thought-provoking story. But for my sensibilities, it is creepy and dark. I'm inclined to steer clear of Christopher Nolan films moving forward.",4,Inception,120,1,0,0,1,0,1,0,0,1
"Oh my god, does this movie suck! This film makes no sense and it's too damn hard to follow. If you love getting mind (EFF)ed, then this movie's for you. Otherwise, no thanks!",2,Inception,121,1,0,0,0,0,0,0,0,0
"No No No.. a-one-trick-pony screenplay - predictable, dull, shoot em up and disaster movie style SFX don't redeem an uninspiring movie...",4,Inception,122,1,0,0,0,1,0,1,1,1
"""I watched \""""Inception\"""" with Leonardo Di Caprio and Ellen Page last night. It made pretty much no sense, but had all kinds of action scenes. Imagine Arnold Schwarzenegger in True Lies wandering into the set of the last Matrix movie. Oh, then everyone wanders in and back out of the sets of Love Story and Dreamscape. I thought it tried too hard to justify its own nonsense.  Leonardo was good.  Ellen Page was in a somewhat more grown-up role than in her previous films.  It was highly recommended but rated about 1-1/2 stars for me.",4,Inception,123,1,1,0,1,1,0,0,0,1
Too clever by half and too long by the same amount - simultaneously dazzling and boring. A real dog,2,Inception,124,0,0,0,0,1,0,0,1,1
I was dreaming that I was dreaming that I was sleeping in the movie that I was dreaming about,2,Inception,125,0,0,0,1,0,0,0,0,1
"Neo meets Leo...but the plot twists are redundant and predictable, and the action sequences are slow and tedious...Shutter Island redux.",4,Inception,126,0,0,1,1,1,0,1,0,0
I thought I was really going to like this.  I DID NOT.,4,Inception,127,1,0,1,1,1,1,0,0,1
"Completely overrated, lacked innovation and originality. Ctrl-X/Ctrl-V from the original Matrix movie, except lacking bullet time and choreography. Leo is not at all believable as the menacing hero,",4,Inception,128,1,1,1,1,1,1,1,0,1
"Its smart and Origional, but I just couldn't help that feeling like no one was realy in any danger in the movie because it was all just a big dream world. Call of duty style gunslinging and wierd gravity don't realy add any suspence to a movie where the worst that can happen to a character is just waking up from a bad dream. I don't remember ever having a dream in a dream that was inside another dream and It also took way to damn long for that white van to hit the water. I wanted this movie to be over. I realy like Chris Nolan but I'm realy just looking forward to his next Batman film. This movie is just an unpleasant distraction in the long wait for the next Dark Knight movie.",4,Inception,129,1,0,1,0,1,1,0,0,0
nope...could not get into this at all...weird from the outset...and i have decided i really don't like leo di caprio!,2,Inception,130,0,1,1,1,1,1,1,0,1
hated it... too confusing,2,Inception,131,1,0,0,1,1,0,0,0,1
to gory in my defence,4,Inception,132,1,0,0,1,0,1,1,0,0
"Holy crap was this movie annoying. Half the time I had no idea WHAT the hell was going on throughout most of this movie. This was a movie I wanted to like, I really did, but it was just sooooo confusing. I got the jist of it, but it's not really a movie I want to watch a second time just to understand it. It's to long, too confusing, and WAY overrated. I don't get the hype at all...",4,Inception,133,1,0,1,1,1,0,0,0,1
"Give it one for action, and tons of it.  The plot is a contrived muddled mess.",2,Inception,134,0,0,1,0,1,0,1,1,0
this movie blows harder than a tiawana donkey slut,2,Inception,135,0,1,0,1,1,0,1,1,0
I really did not like the movie. It did not make sense. Looked amazing. But kind of stupid.,4,Inception,136,0,1,1,1,1,0,0,0,0
"inception : ben bof , j'ai pas tout compris",4,Inception,137,1,1,1,0,0,0,1,0,0
"Something about the production turned me against this.  It was like a comic book movie that was trying not to be.   The score was uninspiring.   There is a lot going on in this movie which could benefit from a re-watch, but there is so much else for me to see!",4,Inception,138,1,1,1,1,1,0,0,0,1
"Is it really that complicated to subliminally plant an idea in someone's head?  Didn't they figure out how to do this back in the 50's?  And what about the power of suggestion?  The whole premise of the movie to me was uninspiring.  And did anyone develop any kind of interest in the characters?  For all the special effects, it was a two-dimensional film.  No depth.",4,Inception,139,0,0,0,1,1,1,1,0,1
hated it load of rubbish,2,Inception,140,0,0,1,0,1,1,0,0,1
I thought it was confusing.,4,Inception,141,1,1,1,0,1,1,1,0,1
Did not like this film at all,2,Inception,142,0,1,0,0,1,0,1,0,1
"Oh, Chris Nolan, what happened to you?",4,Inception,143,0,1,1,1,0,0,1,0,1
"When cool dreams it dreams lame. When lameness is stacked upon lameness, it's hard to tell whether what you think is cool is really in fact really lame!!!",2,Inception,144,0,0,0,0,1,1,1,0,1
"""I can't get past the point where Some annoyances HOW everything is done in the first place.",4,Inception,145,0,1,1,1,1,0,1,1,1
"""Yeah, I rented it.  To be quite honest, one word sums it up best:  \""""Naaah.\""""",2,Inception,146,1,0,0,1,1,1,0,1,1
"""Inception was like watching some geek's ouroboric idea of being in a dream in a dream bla-bla-bla-masturbatory-film-project get a 200+ million dollar budget.  Just because the director doesn't give you enough information and has scattered loopholes up the corn-hole, doesn't make this movie \""""intelligent\"""" or \""""provocative\""""; its not. It's three lagging acts of film tricks, high production and loud distractions, screenplay syntax blunders, and inept/emotionless acting (mostly) from well established powerhouse actors. It's understandable how Nolan messed up the direction, his script was severely flawed, but how on earth did he manage to rip the emotion out of all of those great actors? Does he drug them? Or are they all so bored and turned off by his ego that he actually breaks actors?  And those who loved this movie are as predictable as Pavlov's dog-- you hear big noise, you like.You get confused, you think wow smart story-- no it's a cheap story. In fact this movie, in a lot of ways, is a lot like the Transformer movies. But instead of being eye-candy for the lemmings with IQs of 70 this movie is pons-candy for the idiots who have IQs of 70 but so wish they were in the 100 club. But Christopher Nolan is in the 130+ club (like me), and he knows he can get away with murder. He just hopes you were too far within a dream to care whether or not you actually enjoyed the film.   I just wish he would use his talents to make a good film one day... And I am starting to doubt he has talent. Perhaps his best skill will be utilized in \""""producing\"""" and revamping the Superman series. Here's hoping! However, I am going to stay clear of his directing cockpoles in the foreseeable future. And I advise you do too, unless you like pretending plot-hole-infused-anemic-films are fun to watch.",2,Inception,147,0,1,1,0,1,0,1,1,1
Slept through this thing. matrix rip-off.,4,Inception,148,0,0,0,0,0,1,1,1,0
"Didn't like, shouldn't have used the Juno girl. Some of the sets were obviously fake (not talking about the  CP graphic stuff either)",4,Inception,149,0,1,1,1,0,1,1,1,1
this movie is unbeilivable terrible,2,Inception,150,1,0,1,0,0,1,0,0,1
Top Five movie of all time in my opinion.,10,Inception,151,1,0,0,1,0,1,0,1,0
confusing at first but it is a awesome movie,8,Inception,152,0,0,1,0,1,1,1,0,1
"Good movie, but OVERRATED.",8,Inception,153,0,1,1,1,0,1,0,1,0
"Definitely in my top 3 movies, Inception makes you really think about it, best movie I have ever seen and amazing acting from the cast, you can feel there emotions and it's perfect for anyone, with drama, action, and suspense.",10,Inception,154,1,1,0,1,1,0,1,0,1
"I really enjoyed this movie more than i thought i would, it took me around 1 years to get to see it after actually owning it on DVD since Christmas time. I think there's this block between me and Leo DiCaprio, he IS a good actor, but there's just something about him that gets to me. Nevertheless that doesn't take anything away from this sci-fi sort-of heist movie. The whole concept is thoughtful and yet exciting...to think of all the possibilities, and yes some other than business are explored within the film. As a director i cannot fault Nolan, the shots are great, it bends my mind to think about the special FX. While i rate it highly it is not my favorite film i've seen by far but thats to say that you can't go too wrong watching this unless you a die hard chick flick whore.",8,Inception,155,1,1,0,1,1,1,0,1,1
This movie is not perfect although it succeeds far greater than a typical summer blockbuster.,10,Inception,156,1,1,1,1,0,1,1,1,1
"I regret not seeing this one in the theater. I loses some impact on the little screen. excellent creation of suspense, but the whole dream thing was just way too convoluted",8,Inception,157,0,0,0,1,1,0,0,1,1
This one goes in my top 5 greatest movies. Leonardo dicaprio is one if the most talented actors of our generation and Christopher Nolan is an AMAZING director. I got my fingers crossed for this one at this years oscars.,10,Inception,158,0,0,0,1,1,0,0,0,1
Mind-blowing. The film was like a sudoku puzzle. Hard to figure out at first but easier as you go along and in the end everything fits together and makes sense. Except for the last scene where you're left utterly clueless.,10,Inception,159,1,1,1,0,1,1,0,1,0
You Have To Think Or You Will Be Lost,10,Inception,160,1,1,1,1,0,1,0,0,0
Entangled in the complexity of reality. No one would have done a better storyline and visuals of parallel universe.,8,Inception,161,0,0,0,1,1,0,1,0,1
Saw the ending coming from a mile away but it's a great film.,8,Inception,162,1,0,0,1,1,1,0,0,0
"""Here's a rare treat. An action movie with a great script. Nice going \""""Inception\""""More at BlindFilmCritic.com.",10,Inception,163,0,1,1,0,1,1,0,0,0
"""94 out of 10Let's hope Hollywood see this and start to dream a little bigger instead of copying formulas and thinking that audiences are stupid.""",10,Inception,164,0,0,0,0,0,0,0,1,0
"Best movie of 2010. A lot of people tell me it's hard to understand, but most of those who watched through the movie a second time found it to be great. You have to pay attention to the little details and it doesn't hurt if you have a background in Science Fiction to go on.",10,Inception,165,1,0,1,0,1,0,1,0,1
Great action to go along with an amazing plot.,10,Inception,166,0,0,1,0,1,0,0,1,1
"After you've suspended your disbelief, you will find out what a smart, innovative, and satisfying action thriller this is. Yet another win for Nolan. It takes a lot of what has been brought to the table in the action, thriller, and heist genres, and goes beyond that. I am glad to see such an ambitious film getting so much praise! Maybe, just maybe, we will start to see even more ambitious and innovative films in the future.",10,Inception,167,0,0,1,0,1,1,1,1,1
rewatched it and i'm MIND-BLOWN once again. Period. You just gotta watch it to get it!,10,Inception,168,0,0,1,1,1,1,0,1,1
This movie was crazy I loved it.,10,Inception,169,1,1,0,1,1,1,0,1,0
"The Dream will suck you in and never let go, even after the movie has finished.",10,Inception,170,0,1,0,1,0,1,0,0,0
"""The \""""dream within a dream\"""" concept isn't anything new (Cronenberg's \""""eXistenZ\"""", anyone?), but where eXistenZ attempts to make an overarching statement about humanity and ultimately falls flat, Inception ditches all of that highbrow nonsense for a 2.5 hr thrill ride that isn't perfect, but is wonderfully executed and satisfying.",10,Inception,171,0,0,0,1,0,1,0,1,1
"Overall, a great movie but didn't care for the ending (although I'm sure others would love).",8,Inception,172,1,1,1,1,0,1,1,0,0
One of the best movies I have seen in a while,10,Inception,173,0,1,1,0,1,0,0,0,1
"terrific plot and visual stunners, a real treat for the much starved sci-fi community. probably a bit too clever for its own good but in this case that's a good thing.",8,Inception,174,1,0,1,1,1,1,0,0,1
"Amazing movie, moved into my top 5! Makes one question reality. Graphics are awesome, story line is even better! Loved it! Score works perfect with movie, makes you feel like your there.",10,Inception,175,0,0,0,0,1,1,0,0,1
it was a thrilling movie...very thought provoking...I loved it...,10,Inception,176,1,1,0,0,1,0,0,1,1
"The second brilliant film Leonardo acted this year after Shutter Island although the structures, the whole ideas and background musics are similar. This film is very intense and muti-layered. As a whole, very Freudian. Hmm, about the statement of subconsciousness in the film, it seems very confusing. It seems dreamer's and intruders' subconscousness are mutually influenced. Anyway, it is a very good film which requires some brain cells to watch. Not so many films ask for those now. Worth of seeing!",8,Inception,177,0,0,0,0,1,0,1,1,1
"ha better than the first Avatar, mind was mushed after this movie",10,Inception,178,0,0,0,1,1,0,1,1,1
Would definitely buy this movie and watch it several times. Very intriguing. Loved the acting and storyline.,10,Inception,179,0,1,0,1,1,0,0,1,0
"""One of my absolute faves but mostly because of the neatness of the main character arc.",10,Inception,180,1,0,0,0,1,1,0,1,1
"Not as amazing as the media hyped, but I enjoyed it, Di Caprio is on top form as usual and the story line is literally mind bending. Great film score too, very atmospheric.",10,Inception,181,0,0,1,1,1,1,0,0,1
The one movie that successfully strikes a balance between engaging your eyes and your brain.,10,Inception,182,1,0,1,0,1,1,1,0,0
"""The \""""Lost\"""" of the movie industry.",10,Inception,183,0,0,1,1,0,0,0,0,1
"4 stars to the director - amazing storytelling and visuals, 1/2 star to everything else, lol... fantastic ending sequence, kept me on my toes, couldn't miss even a milli-second... All Hail the Nolan!",10,Inception,184,0,1,1,1,1,1,1,1,0
it play with ur mind..... nolan again proved himself.....surely one of best directors this time......,10,Inception,185,1,1,0,0,1,0,1,1,0
Nolan shows the Wachowskis how it should be done.,10,Inception,186,0,1,1,0,0,1,1,1,0
"""Its either a 10/10 or you are too dumb to \""""get it\"""".",10,Inception,187,1,0,1,0,1,0,1,1,1
good movie with a innovative idea.,8,Inception,188,1,1,0,1,0,0,0,1,0
Saw it 4 times in theaters the first week. Absolutely fantastic visuals mixing with a compelling story line. The ending could not have been more perfect. Christopher Nolan at his best.,10,Inception,189,1,1,1,0,1,0,1,1,1
"Of course, in five years time it'll be the done thing to be sniffy about it.  For the time being, tho, this is the state of the heist movie art.",10,Inception,190,1,1,1,1,1,0,0,0,1
"Once in a while Hollywood brings back one of the pillars of cinema: the elegant and smart creation of a fictional reality, something Nolan achieves with this movie. This movie will certainly enter the league of cult films along with The Matrix and perhaps Bladerunner. While DiCraprio plays a solid part, I'm still wondering about the decision to include Ellen Page in the cast as she plays a portraits a meek character.",10,Inception,191,1,0,1,0,1,0,0,1,1
"Boasting some impressive visuals and action sequences, Inception has a simple objective, but with laced with incredible (and albeit confusing) detail.",8,Inception,192,0,1,1,0,1,1,1,0,0
This almost makes up for the michael bay  take on transformers existing. Well written it's nice to see a great story centered around a scifi theme. It's not something you see every day,10,Inception,193,1,0,1,0,1,1,0,1,1
The best movie I've ever seen by far in my entire life my new favorite movie of all time.,10,Inception,194,0,1,0,1,0,1,1,1,1
This movie changed my expectations of every movie I will ever see again.  Best of 2010?,10,Inception,195,1,0,1,0,0,1,0,0,1
"i'm so glad that i knew nothing about this movie before I saw it. wow, really touched even dont know why.... love Leonardo more and more!",10,Inception,196,0,1,1,1,0,0,1,0,1
It manages to have a lot of layers without being confusing.,8,Inception,197,1,1,1,0,0,1,1,1,1
Absolutely outlandish in the best way fathomable. Best movie of 2010 hands down.,10,Inception,198,0,0,0,0,1,1,1,1,0
"Excellent, though far from perfect.",10,Inception,199,1,1,1,0,1,1,0,1,0
"Christopher Nolan is a master of artful yet mentally stimulating films. The entire film is a dream wrapped inside an enigma of a mystery. SO confusing, even for a veteran filmgoer like myself.   BUT it's one of the best films ever, so surreal, brilliantly cast (even with Leonardo DiCaprio), written superbly and just....everything works here. It's the definition of a film that deserves to be watched again and again.  INCEPTION is probably one of the best films this year and it further cements Nolan as one of the best modern filmmakers.",10,Inception,200,0,0,1,1,1,0,1,1,1
"The ending is terrible argumentatively speaking, there is no point in Ellie forgiving Abby, it is simply something absurd objectively speaking, the qualification is for the story, something in which The Last of Us shone, all the feelings and the bond that we unite with the characters it disappears, they throw it away, a waste of new characters. The gameplay is very good but there are still problems with the AI, but I insist that you cannot throw away everything you built in the first part, wasting many of your new and old characters for a goal that you finally did not meet. Terrible, I do not know what the criticism saw well in terms of history, I suppose that daring to kill characters and especially the main characters of the last game, but if they are going to do it, it must be done very well, however, in the end the way they did it was ridiculous.â¦ Expand",3,TLOU2,201,0,0,1,1,1,1,0,0,1
"the homosexual relationship feels forced, I love the love between Adriano and Antinoo but this is too much",0,TLOU2,202,1,1,0,0,0,1,0,1,0
"""**** story, no one likes Abby or Debbie, that \""""thang\"""", ellie dint kill her, that sucks, loads od marketing lies, flashbacks of ellie and joel are the reason i rate this game higher than 0, it sucks, but the graphics are great. **** abby and ****",2,TLOU2,203,1,0,1,1,1,1,1,1,1
"What drugs was neil druckman smoking when making this game? bring back the proper naughty dog, this shallow dull pile of **** would of never happened with them.",0,TLOU2,204,0,0,0,1,0,0,1,1,1
"The first one was a masterpiece, but the second destroy everything that the first created. There's a lot of gaps in the history. Im not hating the Ellies sexual orientation beucase was established in the DLC, there`s no problem. But how I trainned man like Joel trust someone from nothing, theres no explanation, also saying your name. Also the narrative choices were not the best decisions. Very Very desappointed. For me the first one was a masterpiece, and I will never take this as a sequel. FOR ME theres only the part one. Story closed.â¦ Expand",1,TLOU2,205,1,1,0,1,1,0,0,1,1
